ORGANIZATION,MAY-FY11,MAY-FY12,MAY-FY13,MAY-FY14,MAY-FY15,MAY-FY16
(V15) (589) HCS KANSAS CITY MO,5668,5513,5628,5783,6093,6343
(V15) (657) HCS ST LOUIS MO,4436,4329,4441,4825,5076,5125
(V16) (492) V16HNJACKSON MS,60,60,55,59,57,51
(V16) (502) MC ALEXANDRIA LA,1229,1251,1298,1271,1297,1224
(V16) (520) MC BILOXI MS,1817,1924,2125,2172,2289,2235
(V16) (564) MC FAYETTEVILLE AR,1252,1252,1413,1482,1507,1449
(V16) (580) MC HOUSTON TX,3779,3905,4180,4547,4723,4840
(V16) (586) MC JACKSON MS,2013,2087,2141,2173,2074,1949
(V16) (598) MC LITTLE ROCK AR,3167,3170,3343,3316,3376,3461
(V16) (623) MC MUSKOGEE OK,1168,1150,1206,1257,1314,1318
(V16) (629) MC NEW ORLEANS LA,1217,1255,1311,1350,1442,1668
(V16) (635) MC OKLAHOMA CITY OK,1878,1894,1977,2095,2218,2349
(V16) (667) MC SHREVEPORT LA,1442,1439,1472,1516,1539,1455
(V17) (493) V17HNARLINGTON TX,164,124,55,59,55,50
(V17) (549) HCS DALLAS TX,4317,4409,4654,4771,4768,5236
(V17) (671) HCS SAN ANTONIO TX,3490,3381,3512,3559,3615,3761
(V17) (674) HCS TEMPLE TX,3529,3345,3488,3686,3711,3909
(V17) (740) HCS HARLINGEN TX,437,502,611,687,746,830
(V18) (494) V18HNMESA AZ,55,64,51,49,42,28
(V18) (501) HCS ALBUQUERQUE NM,2340,2370,2308,2384,2515,2616
(V18) (504) MC AMARILLO TX,1021,983,954,998,1088,1058
(V18) (519) MC BIG SPRING TX,552,565,565,525,564,602
(V18) (644) MC PHOENIX AZ,2398,2368,2443,2631,2981,3270
(V18) (649) HCS PRESCOTT AZ,930,880,910,932,1038,1077
(V18) (678) HCS TUCSON AZ,2215,2242,2219,2259,2395,2493
(V18) (756) OC EL PASO TX,627,672,708,753,814,872
(V19) (436) HCS FT HARRISON MT,1031,1034,1133,1253,1223,1219
(V19) (442) MROC CHEYENNE WY,573,586,636,694,758,853
(V19) (495) V19HNGLENDALE CO,43,41,38,45,39,45
(V19) (554) HCS DENVER CO,2377,2472,2511,2487,2831,3057
(V19) (575) MC GR JUNCTION CO,582,587,583,590,625,651
