Facility   (Data On 12/1/14),"Total Appts
Scheduled1","Appts
scheduled
30 Days or
under2","Percent
Appts
scheduled
30 Days or
under3","Appts
scheduled
over 30
Days4","Percent
Appts
scheduled
over 30
Days5",,"New
Enrollee
Appt
Request6",,"EWL
Count7",,"Appts
Between
0 ‰Ûê 14 Days8","EWL 0 ‰Ûê
14
Days9","Appts
Between
15 ‰Ûê 30
Days10","EWL 15‰Ûê30
Days11","Appts
Between
31 ‰Ûê 60
days12","EWL 31‰Ûê
60
Days13","Appts
Between
61 ‰Ûê 90
Days14","EWL 61‰Ûê90
Days15","Appts
Between
91 ‰Ûê 120
Days16","EWL 91‰Ûê
120
Days17","Appts
Beyond
120 Days18","EWL
greater
than 120
Days19",,"PC Avg
Wait
Time20","SC Avg
Wait
Time21","MH Avg
Wait
Time22"
"(V05) (688) Washington, DC",41268,"38,836",94.11%,"2,432",5.89%,,3,,133,,"35,314",44,"3,522",29,"1,962",54,434,4,22,1,14,1,,7.91,6.31,8.83
"(V06) (517) Beckley, WV",15041,"14,221",94.55%,820,5.45%,,0,,248,,"13,326",47,895,18,660,59,137,11,21,19,2,94,,4.94,6.03,5.94
"(V06) (558) Durham, NC",68311,"62,314",91.22%,"5,997",8.78%,,6,,90,,"57,171",30,"5,143",11,"4,336",7,"1,264",5,284,10,113,27,,13.75,8.21,2.47
"(V06) (565) Fayetteville, NC",42218,"33,639",79.68%,"8,579",20.32%,,23,,774,,"29,512",217,"4,127",108,"3,506",217,"4,889",136,114,46,70,50,,28.45,18.57,7.02
"(V06) (590) Hampton, VA",33032,"26,610",80.56%,"6,422",19.44%,,28,,8,,"22,533",4,"4,077",1,"4,277",3,"1,694",0,216,0,235,0,,30.53,12.74,14.72
"(V06) (637) Asheville, NC",34621,"33,026",95.39%,"1,595",4.61%,,1,,68,,"30,848",15,"2,178",13,"1,131",25,361,15,68,0,35,0,,8.65,6.05,4.15
"(V06) (652) Richmond, VA",63003,"59,877",95.04%,"3,126",4.96%,,9,,554,,"56,404",164,"3,473",96,"1,953",105,826,89,277,59,70,41,,9.24,5.27,6.68
"(V06) (658) Salem, VA",40073,"38,153",95.21%,"1,920",4.79%,,13,,181,,"36,287",26,"1,866",24,899,29,504,28,471,10,46,64,,3.27,8.08,0.7
"(V06) (659) Salisbury, NC",74731,"66,798",89.38%,"7,933",10.62%,,43,,640,,"61,843",170,"4,955",146,"4,336",175,"1,942",76,858,26,797,47,,6.14,12.47,14.64
"(V07) (508) Atlanta, GA",112008,"103,243",92.17%,"8,765",7.83%,,14,,0,,"96,737",0,"6,506",0,"5,543",0,"2,889",0,205,0,128,0,,19.17,6.35,3.05
"(V07) (509) Augusta, GA",35052,"33,367",95.19%,"1,685",4.81%,,3,,28,,"31,258",5,"2,109",9,"1,206",13,258,1,65,0,156,0,,6.74,6.14,1.72
"(V07) (521) Birmingham, AL",50212,"47,517",94.63%,"2,695",5.37%,,41,,47,,"45,267",11,"2,250",11,"1,855",20,779,4,37,1,24,0,,2.51,9.51,2
"(V07) (534) Charleston, SC",40782,"39,134",95.96%,"1,648",4.04%,,28,,2,,"37,790",2,"1,344",0,"1,074",0,464,0,105,0,5,0,,4.25,6.61,1.97
"(V07) (544) Columbia, SC",63394,"58,317",91.99%,"5,077",8.01%,,15,,642,,"53,232",93,"5,085",92,"2,847",234,"1,895",135,207,22,128,66,,10.4,9.36,9.24
"(V07) (557) Dublin, GA",25751,"21,808",84.69%,"3,943",15.31%,,53,,"1,101",,"19,596",147,"2,212",219,"1,878",643,"1,565",73,460,18,40,1,,20.04,11.64,5.88
"(V07) (619) Central Alabama Veterans HCS, AL",33086,"25,070",75.77%,"8,016",24.23%,,47,,76,,"21,649",23,"3,421",15,"4,054",17,"2,327",9,"1,423",6,212,6,,12.7,24.56,22.81
"(V07) (679) Tuscaloosa, AL",6049,"5,853",96.76%,196,3.24%,,4,,0,,"5,497",0,356,0,144,0,38,0,6,0,8,0,,9.31,0.59,1.23
"(V08) (516) Bay Pines, FL",103097,"98,753",95.79%,"4,344",4.21%,,10,,253,,"93,590",56,"5,163",36,"3,280",53,824,45,151,31,89,32,,7.17,5.21,3.53
(V08) (516BZ) Lee County,20480,"19,320",94.34%,"1,160",5.66%,,0,,2,,"18,198",2,"1,122",0,873,0,230,0,46,0,11,0,,7.15,6.34,3.03
"(V08) (546) Miami, FL",51542,"49,478",96.00%,"2,064",4.00%,,7,,34,,"47,326",12,"2,152",0,"1,625",0,371,0,44,12,24,10,,5.78,5.79,1.15
"(V08) (548) West Palm Beach, FL",66918,"64,654",96.62%,"2,264",3.38%,,4,,4,,"61,498",0,"3,156",0,"1,560",2,463,2,217,0,24,0,,1.62,6.95,1.49
"(V08) (573) Gainesville, FL",150045,"129,151",86.07%,"20,894",13.93%,,353,,929,,"117,545",273,"11,606",169,"11,265",192,"6,935",198,"1,716",81,978,16,,9.38,16.55,3.61
"(V08) (672) San Juan, PR",125488,"124,030",98.84%,"1,458",1.16%,,1,,125,,"120,383",24,"3,647",21,915,34,269,34,189,11,85,1,,2.42,2.61,3.33
"(V08) (673) Tampa, FL",122359,"113,924",93.11%,"8,435",6.89%,,43,,"1,396",,"109,717",321,"4,207",305,"3,780",297,"2,835",144,"1,395",96,425,233,,1.37,11.56,4.67
"(V08) (675) Orlando, FL",102342,"96,517",94.31%,"5,825",5.69%,,26,,"1,332",,"92,958",268,"3,559",167,"3,165",331,"1,852",297,600,158,208,111,,3.21,7.12,1.97
"(V09) (581) Huntington, WV",29070,"27,449",94.42%,"1,621",5.58%,,0,,15,,"24,611",3,"2,838",4,"1,359",8,238,0,21,0,3,0,,7.7,8.27,2.87
"(V09) (596) Lexington, KY",33802,"30,711",90.86%,"3,091",9.14%,,4,,591,,"26,801",207,"3,910",126,"2,319",135,687,88,62,15,23,20,,7.6,9.78,8.89
(V09) (596) Lexington‰ÛêLeestown,13614,"12,721",93.44%,893,6.56%,,0,,153,,"11,279",86,"1,442",9,574,25,298,15,18,5,3,13,,5.39,8.25,9
"(V09) (603) Louisville, KY",46180,"45,236",97.96%,944,2.04%,,6,,32,,"42,634",24,"2,602",1,740,4,132,3,47,0,25,0,,4.13,4.25,3.1
"(V09) (614) Memphis, TN",57905,"56,238",97.12%,"1,667",2.88%,,9,,95,,"54,212",40,"2,026",17,"1,004",19,422,10,178,9,63,0,,2.56,4.16,4.2
"(V09) (621) Mountain Home, TN",75141,"72,274",96.18%,"2,867",3.82%,,17,,72,,"70,251",17,"2,023",13,"1,659",36,649,1,375,2,184,3,,7.51,3.6,2.18
"(V09) (626) Middle Tennessee HCS, TN",130280,"120,403",92.42%,"9,877",7.58%,,5,,625,,"114,954",136,"5,449",134,"5,122",240,"3,196",78,929,18,630,19,,10.71,6.04,8.66
"(V10) (538) Chillicothe, OH",15904,"14,204",89.31%,"1,700",10.69%,,4,,186,,"13,135",20,"1,069",16,"1,000",45,436,10,119,17,145,78,,4.41,16.25,5.1
"(V10) (539) Cincinnati, OH",39991,"38,405",96.03%,"1,586",3.97%,,12,,29,,"37,179",22,"1,226",2,"1,162",3,352,1,62,0,10,1,,1.74,6.19,1.83
(V10) (539GF) Georgetown,560,558,99.64%,2,0.36%,,0,,0,,553,0,5,0,1,0,1,0,0,0,0,0,,1.62,0.78,0.57
"(V10) (541) Cleveland, OH",67463,"64,510",95.62%,"2,953",4.38%,,16,,14,,"60,831",14,"3,679",0,"2,488",0,381,0,70,0,14,0,,4.83,5.14,2.83
"(V10) (552) Dayton, OH",23145,"22,503",97.23%,642,2.77%,,8,,38,,"21,470",11,"1,033",7,566,4,64,3,8,2,4,11,,0.81,4.23,2.25
"(V10) (757) Columbus, OH",36642,"33,389",91.12%,"3,253",8.88%,,6,,22,,"30,969",7,"2,420",7,"2,119",3,851,1,266,1,17,3,,9.79,8.98,2.3
"(V11) (506) Ann Arbor, MI",50032,"47,030",94.00%,"3,002",6.00%,,12,,4,,"44,950",4,"2,080",0,"2,000",0,735,0,201,0,66,0,,5.2,6.25,2.83
"(V11) (515) Battle Creek, MI",21849,"20,324",93.02%,"1,525",6.98%,,19,,102,,"18,948",46,"1,376",39,"1,282",16,237,1,2,0,4,0,,3.53,8.86,1.45
"(V11) (550) Danville, IL",16276,"15,567",95.64%,709,4.36%,,12,,4,,"15,004",2,563,2,613,0,82,0,8,0,6,0,,4.69,3.22,3.86
"(V11) (553) Detroit, MI",37203,"36,473",98.04%,730,1.96%,,19,,67,,"35,978",38,495,22,473,5,194,1,52,1,11,0,,0.76,2.34,0.47
"(V11) (583) Indianapolis, IN",50167,"47,898",95.48%,"2,269",4.52%,,10,,6,,"45,334",5,"2,564",1,"1,738",0,354,0,66,0,111,0,,4.59,5.53,2.81
"(V11) (610) Northern Indiana HCS, IN",29524,"27,740",93.96%,"1,784",6.04%,,41,,2,,"25,589",2,"2,151",0,"1,336",0,386,0,47,0,15,0,,9.68,6.74,2.23
"(V11) (655) Saginaw, MI",24652,"24,285",98.51%,367,1.49%,,20,,0,,"23,515",0,770,0,335,0,28,0,2,0,2,0,,0.65,3.1,1.28
(V11) (655GF) Bad Axe,430,430,100.00%,0,0.00%,,0,,0,,429,0,1,0,0,0,0,0,0,0,0,0,,0.56,0.35,1.49
"(V12) (537) Jesse Brown VAMC (Chicago), IL",43992,"41,023",93.25%,"2,969",6.75%,,3,,126,,"38,805",66,"2,218",14,"1,811",19,927,17,221,7,10,3,,6.64,7.97,2.89
(V12) (556) Captain James A Lovell FHCC,14204,"13,770",96.94%,434,3.06%,,7,,17,,"12,759",3,"1,011",3,403,9,20,1,1,1,10,0,,2.66,5.07,4.57
"(V12) (578) Hines, IL",49762,"43,171",86.75%,"6,591",13.25%,,5,,0,,"40,253",0,"2,918",0,"4,281",0,"2,265",0,35,0,10,0,,10.14,13.24,8.77
"(V12) (585) Iron Mountain, MI",10720,"10,111",94.32%,609,5.68%,,3,,1,,"9,490",1,621,0,464,0,106,0,35,0,4,0,,4.82,7.46,4.31
"(V12) (607) Madison, WI",30149,"28,118",93.26%,"2,031",6.74%,,0,,0,,"26,690",0,"1,428",0,"1,454",0,475,0,74,0,28,0,,8.1,6.85,2.13
"(V12) (676) Tomah, WI",14364,"14,060",97.88%,304,2.12%,,6,,0,,"13,648",0,412,0,272,0,21,0,10,0,1,0,,1.28,3.89,2.16
"(V12) (695) Milwaukee, WI",55515,"50,519",91.00%,"4,996",9.00%,,16,,5,,"47,677",1,"2,842",1,"3,298",0,"1,435",0,230,2,33,1,,1.25,10.45,4.55
"(V15) (589) Columbia, MO",43676,"43,200",98.91%,476,1.09%,,6,,2,,"42,110",1,"1,090",0,241,0,139,0,58,0,38,1,,1.95,2.84,1.31
"(V15) (589) Kansas City, MO",33338,"31,653",94.95%,"1,685",5.05%,,19,,99,,"30,253",9,"1,400",15,921,17,505,23,197,11,62,24,,5.44,6.33,3.96
(V15) (589MC) IDES Whiteman AFB,4,4,100.00%,0,0.00%,,0,,0,,4,0,0,0,0,0,0,0,0,0,0,0,,,0,0
"(V15) (589) Eastern KS HCS, KS",34485,"33,588",97.40%,897,2.60%,,19,,30,,"32,634",4,954,2,617,12,239,6,25,2,16,4,,3.12,4.47,1.01
"(V15) (589) Wichita, KS",17720,"16,776",94.67%,944,5.33%,,2,,149,,"15,889",21,887,9,656,40,244,13,21,3,23,63,,4.3,9.28,2.67
"(V15) (657) Marion, IL",21126,"19,407",91.86%,"1,719",8.14%,,28,,42,,"17,801",8,"1,606",32,"1,019",0,617,1,68,0,15,1,,4.64,11.12,4.17
"(V15) (657) Poplar Bluff, MO",11284,"10,400",92.17%,884,7.83%,,9,,5,,"9,729",0,671,0,712,1,165,1,6,3,1,0,,3.57,11.66,4.69
"(V15) (657) St. Louis, MO",54377,"53,489",98.37%,888,1.63%,,11,,0,,"49,139",0,"4,350",0,594,0,186,0,51,0,57,0,,3.57,5.52,4.04
"(V16) (502) Alexandria, LA",25904,"23,713",91.54%,"2,191",8.46%,,5,,241,,"22,323",10,"1,390",4,"1,353",20,715,17,97,20,26,170,,4.69,13.7,3.38
"(V16) (520) Gulf Coast HCS, MS",49790,"41,519",83.39%,"8,271",16.61%,,28,,42,,"37,728",16,"3,791",6,"4,854",4,"2,053",3,"1,070",4,294,9,,14.8,17.25,10.91
"(V16) (564) Fayetteville, AR",35151,"32,438",92.28%,"2,713",7.72%,,13,,0,,"30,182",0,"2,256",0,"1,605",0,818,0,152,0,138,0,,2.86,10.02,6.95
(V16) (564GB) Ft. Smith,3432,"3,170",92.37%,262,7.63%,,0,,0,,"2,977",0,193,0,210,0,47,0,5,0,0,0,,1.71,5.83,10.38
"(V16) (580) Houston, TX",97792,"89,102",91.11%,"8,690",8.89%,,11,,357,,"85,261",357,"3,841",0,"4,958",0,"3,050",0,534,0,148,0,,12.43,6.09,5.12
"(V16) (586) Jackson, MS",37993,"36,642",96.44%,"1,351",3.56%,,5,,110,,"35,475",49,"1,167",15,814,14,425,14,80,4,32,14,,6.03,3.86,1.09
"(V16) (598) Little Rock, AR",61736,"59,104",95.74%,"2,632",4.26%,,8,,42,,"55,963",26,"3,141",8,"1,770",4,630,2,169,1,63,1,,8.37,3.47,7.66
"(V16) (623) Muskogee, OK",21717,"21,187",97.56%,530,2.44%,,4,,60,,"19,828",6,"1,359",17,379,18,144,8,6,4,1,7,,3.41,5.79,2.47
"(V16) (629) New Orleans, LA",40370,"35,113",86.98%,"5,257",13.02%,,22,,40,,"31,851",27,"3,262",4,"2,414",6,"2,791",1,40,0,12,2,,11.77,15.29,5.4
"(V16) (635) Oklahoma City, OK",33283,"31,919",95.90%,"1,364",4.10%,,74,,123,,"29,775",56,"2,144",18,848,22,393,8,93,14,30,5,,4.41,6.79,3.01
"(V16) (667) Shreveport, LA",35854,"35,000",97.62%,854,2.38%,,40,,0,,"33,622",0,"1,378",0,619,0,148,0,57,0,30,0,,4.82,3.71,3.49
"(V17) (549) Dallas, TX",83453,"80,028",95.90%,"3,425",4.10%,,60,,13,,"76,262",9,"3,766",4,"2,631",0,603,0,147,0,44,0,,5.28,4.79,3.11
(V17) (549GA) Camp‰ÛêFannin,1447,"1,175",81.20%,272,18.80%,,0,,4,,"1,038",1,137,3,169,0,102,0,0,0,1,0,,19.94,0,5.35
"(V17) (671) San Antonio, TX",52506,"47,928",91.28%,"4,578",8.72%,,6,,95,,"44,128",56,"3,800",9,"3,138",27,"1,322",2,76,0,42,1,,9.35,6.92,8.1
"(V17) (674) Temple, TX",78890,"72,071",91.36%,"6,819",8.64%,,22,,83,,"66,617",55,"5,454",26,"5,222",2,"1,144",0,309,0,144,0,,11.98,8.25,6.64
(V17) (740) VA Texas Valley Coastal Bend HCS,16935,"14,781",87.28%,"2,154",12.72%,,1,,31,,"13,530",1,"1,251",0,957,8,656,7,462,5,79,10,,23.8,5.26,4.16
(V18) (501) New Mexico HCS,42373,"36,622",86.43%,"5,751",13.57%,,30,,393,,"32,927",155,"3,695",134,"3,119",96,"2,298",5,299,3,35,0,,16.98,12.31,7.8
"(V18) (504) Amarillo, TX",19467,"18,047",92.71%,"1,420",7.29%,,8,,21,,"17,384",7,663,1,651,11,668,1,91,1,10,0,,19.32,3.73,0.92
"(V18) (519) Big Spring, TX",7137,"6,786",95.08%,351,4.92%,,33,,70,,"6,145",33,641,4,261,24,50,7,30,1,10,1,,7.11,6.33,8.1
"(V18) (644) Phoenix, AZ",68521,"60,214",87.88%,"8,307",12.12%,,1,,89,,"54,290",13,"5,924",13,"5,351",30,"1,816",19,710,7,430,7,,12.49,17.85,5.98
(V18) (649) Northern Arizona HCS,13412,"11,862",88.44%,"1,550",11.56%,,18,,475,,"11,092",135,770,133,808,57,455,23,283,21,4,106,,8.57,17.58,0.33
(V18) (649) Prescott,9680,"8,465",87.45%,"1,215",12.55%,,0,,475,,"7,962",135,503,133,544,57,386,23,282,21,3,106,,4.48,17.64,0.23
(V18) (678) Southern Arizona HCS,42340,"39,601",93.53%,"2,739",6.47%,,2,,111,,"37,531",63,"2,070",9,"1,581",6,948,14,175,4,35,15,,10.08,5.25,6.73
"(V18) (756) El Paso, TX",31077,"27,372",88.08%,"3,705",11.92%,,5,,7,,"25,175",7,"2,197",0,"1,924",0,"1,068",0,666,0,47,0,,8.5,9.37,18.44
(V19) (436) Montana HCS,18288,"16,599",90.76%,"1,689",9.24%,,20,,105,,"15,382",50,"1,217",21,945,28,477,4,167,0,100,2,,15.45,4.56,4.23
"(V19) (442) Cheyenne, WY",13635,"12,742",93.45%,893,6.55%,,7,,172,,"11,717",108,"1,025",13,559,26,306,17,19,7,9,1,,5.12,6.92,5.86
"(V19) (554) Denver, CO",62583,"53,683",85.78%,"8,900",14.22%,,99,,"1,204",,"48,747",587,"4,936",178,"5,137",158,"2,666",110,940,56,157,115,,9.56,13.25,14.78
"(V19) (575) Grand Junction, CO",8654,"8,286",95.75%,368,4.25%,,8,,10,,"7,950",9,336,0,326,1,36,0,5,0,1,0,,3.33,6.3,2.67
"(V19) (660) Salt Lake City, UT",27935,"25,037",89.63%,"2,898",10.37%,,55,,823,,"22,277",272,"2,760",153,"1,788",219,927,115,124,45,59,19,,12.95,10.04,3.58
"(V19) (666) Sheridan, WY",4366,"4,241",97.14%,125,2.86%,,20,,0,,"3,935",0,306,0,98,0,22,0,4,0,1,0,,6.51,5.13,3.05
(V19) (666GB) Casper,929,862,92.79%,67,7.21%,,0,,0,,748,0,114,0,57,0,6,0,4,0,0,0,,9.53,18,7.04
"(V20) (463) Anchorage, AK",5982,"5,784",96.69%,198,3.31%,,34,,6,,"5,474",3,310,2,176,0,19,0,0,1,3,0,,4.36,4.33,1.25
"(V20) (531) Boise, ID",14163,"12,552",88.63%,"1,611",11.37%,,3,,42,,"11,967",20,585,5,932,10,398,0,159,0,122,7,,1.86,12.89,1.79
"(V20) (648) Portland, OR",73666,"68,572",93.09%,"5,094",6.91%,,1,,"1,054",,"63,986",151,"4,586",137,"3,332",235,"1,159",281,509,71,94,179,,12.99,8.81,1.87
"(V20) (653) Roseburg, OR",21587,"20,369",94.36%,"1,218",5.64%,,19,,658,,"19,079",270,"1,290",101,958,83,203,29,34,18,23,157,,10.25,5.48,1.54
"(V20) (663) VA Puget Sound, WA",65247,"62,456",95.72%,"2,791",4.28%,,13,,192,,"58,587",61,"3,869",55,"1,929",42,694,8,148,5,20,21,,6.44,7.39,1.22
"(V20) (668) Spokane, WA",21514,"20,266",94.20%,"1,248",5.80%,,4,,174,,"19,273",15,993,74,752,48,292,34,151,3,53,0,,3.68,8.81,3.76
"(V20) (687) Walla Walla, WA",8025,"7,282",90.74%,743,9.26%,,78,,62,,"6,556",9,726,10,471,8,255,6,12,7,5,22,,5.4,17.48,3.52
"(V20) (692) White City, OR",14702,"14,261",97.00%,441,3.00%,,7,,494,,"13,884",66,377,72,293,104,71,92,6,41,71,119,,4.42,9.19,1.58
"(V21) (358) Manila, PI",1287,"1,260",97.90%,27,2.10%,,3,,13,,"1,161",13,99,0,21,0,5,0,1,0,0,0,,4.77,3.09,3.31
"(V21) (459) Honolulu, HI",14563,"14,150",97.16%,413,2.84%,,5,,71,,"13,482",13,668,22,335,29,62,1,5,0,11,6,,6.95,1.34,2.96
"(V21) (570) Fresno, CA",17194,"15,211",88.47%,"1,983",11.53%,,0,,42,,"14,200",6,"1,011",1,989,4,677,1,228,0,89,30,,0.59,14.5,0.63
"(V21) (612) N. California, CA",62511,"54,337",86.92%,"8,174",13.08%,,49,,434,,"49,873",113,"4,464",109,"4,873",137,"2,407",58,744,7,150,10,,4.82,16.07,2.26
"(V21) (640) Palo Alto, CA",49766,"46,373",93.18%,"3,393",6.82%,,21,,468,,"42,898",44,"3,475",42,"2,416",97,682,42,206,64,89,179,,6.54,7.32,5.92
"(V21) (654) Reno, NV",26049,"23,218",89.13%,"2,831",10.87%,,32,,71,,"21,389",14,"1,829",1,"1,474",6,825,18,368,0,164,32,,10.28,14.19,3.37
"(V21) (662) San Francisco, CA",28503,"26,328",92.37%,"2,175",7.63%,,65,,198,,"24,520",50,"1,808",34,"1,490",41,509,22,140,19,36,32,,11.75,7.02,5.23
"(V22) (593) Las Vegas, NV",55370,"50,927",91.98%,"4,443",8.02%,,10,,444,,"48,620",125,"2,307",132,"2,729",70,"1,422",17,267,16,25,84,,6.4,7.28,4.98
"(V22) (600) Long Beach, CA",49174,"47,535",96.67%,"1,639",3.33%,,6,,99,,"44,880",30,"2,655",33,"1,279",26,290,7,34,2,36,1,,8.78,3.75,3.86
"(V22) (605) Loma Linda, CA",62831,"58,193",92.62%,"4,638",7.38%,,1,,87,,"53,850",11,"4,343",22,"2,802",19,"1,126",13,389,5,321,17,,8,9.95,4.54
"(V22) (664) San Diego, CA",61038,"55,299",90.60%,"5,739",9.40%,,0,,323,,"51,635",53,"3,664",51,"2,809",91,"1,167",39,495,19,"1,268",70,,6.67,9.57,6.86
(V22) (691) Greater Los Angeles HCS,80701,"72,671",90.05%,"8,030",9.95%,,56,,356,,"66,730",112,"5,941",43,"4,450",76,"2,544",79,941,16,95,30,,6.46,13.35,4.53
(V22) (691GE) Los Angeles,9415,"8,411",89.34%,"1,004",10.66%,,0,,1,,"7,568",0,843,0,617,0,275,0,99,0,13,1,,6.55,14.58,6.85
