Facility   (Data On 12/1/14),"Total Appts
Scheduled1","Appts
scheduled
30 Days or
under2","Percent
Appts
scheduled
30 Days or
under3","Appts
scheduled
over 30
Days4","Percent
Appts
scheduled
over 30
Days5",,"New
Enrollee
Appt
Request6",,"EWL
Count7",,"Appts
Between
0 ‰Ûê 14 Days8","EWL 0 ‰Ûê
14
Days9","Appts
Between
15 ‰Ûê 30
Days10","EWL 15‰Ûê30
Days11","Appts
Between
31 ‰Ûê 60
days12","EWL 31‰Ûê
60
Days13","Appts
Between
61 ‰Ûê 90
Days14","EWL 61‰Ûê90
Days15","Appts
Between
91 ‰Ûê 120
Days16","EWL 91‰Ûê
120
Days17","Appts
Beyond
120 Days18","EWL
greater
than 120
Days19",,"PC Avg
Wait
Time20","SC Avg
Wait
Time21","MH Avg
Wait
Time22"
"(V01) (402) Togus, ME",42899,"41,740",97.30%,"1,159",2.70%,,6,,14,,"40,479",7,"1,261",4,723,1,332,2,75,0,29,0,,2.51,4.07,2.77
"(V01) (405) White River Junction, VT",23709,"23,197",97.84%,512,2.16%,,7,,15,,"22,121",7,"1,076",1,386,5,90,1,10,0,26,1,,3.92,3.95,0.79
"(V01) (518) Bedford, MA",8105,"7,686",94.83%,419,5.17%,,38,,116,,"7,055",9,631,4,322,9,71,11,19,10,7,73,,1.12,10.53,4.41
"(V01) (523) VA Boston HCS, MA",85625,"84,158",98.29%,"1,467",1.71%,,12,,309,,"80,836",66,"3,322",46,986,100,282,17,99,18,100,62,,1.66,3.53,3.92
"(V01) (608) Manchester, NH",19511,"18,996",97.36%,515,2.64%,,4,,17,,"18,051",3,945,3,467,3,38,2,6,1,4,5,,2.66,4.21,5.13
(V01) (631) VA Central Western Massachusetts HCS,22602,"20,510",90.74%,"2,092",9.26%,,4,,171,,"18,987",99,"1,523",20,"1,189",14,577,17,245,12,81,9,,10.54,12.5,4.18
"(V01) (650) Providence, RI",38893,"37,289",95.88%,"1,604",4.12%,,20,,24,,"35,581",14,"1,708",2,877,5,523,0,158,3,46,0,,7.4,4.59,9.33
"(V01) (689) VA Connecticut HCS, CT",49615,"48,532",97.82%,"1,083",2.18%,,5,,43,,"46,579",34,"1,953",5,667,2,158,1,136,0,122,1,,2.35,4.15,3.92
"(V02) (528) Albany, NY",31376,"30,386",96.84%,990,3.16%,,32,,59,,"29,372",18,"1,014",1,612,6,290,16,58,18,30,0,,2.33,3.64,4.29
"(V02) (528) Bath, NY",14816,"14,194",95.80%,622,4.20%,,0,,21,,"13,710",8,484,7,389,4,162,2,59,0,12,0,,3.35,7.7,4.97
"(V02) (528) Western New York, NY",42761,"41,382",96.78%,"1,379",3.22%,,17,,20,,"39,498",8,"1,884",0,985,9,217,1,113,1,64,1,,4.34,3.51,5.02
"(V02) (528) Canandaigua, NY",14061,"13,723",97.60%,338,2.40%,,26,,28,,"12,858",13,865,6,271,8,39,1,19,0,9,0,,5.12,4.6,1.61
"(V02) (528) Syracuse, NY",48461,"44,793",92.43%,"3,668",7.57%,,9,,5,,"42,469",4,"2,324",1,"1,666",0,863,0,408,0,731,0,,2.58,14.53,4
"(V03) (526) Bronx, NY",20917,"20,195",96.55%,722,3.45%,,1,,2,,"19,392",2,803,0,371,0,325,0,24,0,2,0,,4.32,5.12,1.82
"(V03) (561) New Jersey HCS, NJ",40291,"38,640",95.90%,"1,651",4.10%,,10,,20,,"36,706",19,"1,934",0,"1,284",1,288,0,43,0,36,0,,1.53,6.65,2.03
"(V03) (620) VA Hudson Valley HCS, NY",19748,"19,279",97.63%,469,2.37%,,6,,39,,"18,290",14,989,0,401,11,58,4,3,2,7,8,,4.3,4.04,2.66
"(V03) (630) New York Harbor HCS, NY",50081,"49,426",98.69%,655,1.31%,,4,,2,,"47,849",2,"1,577",0,576,0,53,0,11,0,15,0,,1.25,2.7,1.06
"(V03) (632) Northport, NY",34758,"33,946",97.66%,812,2.34%,,0,,345,,"32,095",41,"1,851",30,571,64,177,17,47,18,17,175,,5.31,6.43,1.54
(V03) (632) Northport,30059,"29,334",97.59%,725,2.41%,,0,,342,,"27,776",41,"1,558",28,487,63,175,17,46,18,17,175,,4.22,6.48,1.57
"(V04) (460) Wilmington, DE",23238,"21,454",92.32%,"1,784",7.68%,,15,,2,,"19,515",2,"1,939",0,"1,039",0,334,0,221,0,190,0,,16.97,8.87,3.72
"(V04) (503) Altoona, PA",29386,"28,894",98.33%,492,1.67%,,8,,1,,"28,169",1,725,0,332,0,133,0,9,0,18,0,,3.21,5.66,1.78
"(V04) (529) Butler, PA",24169,"23,829",98.59%,340,1.41%,,5,,0,,"23,713",0,116,0,143,0,135,0,54,0,8,0,,0.32,7.49,0.69
"(V04) (540) Clarksburg, WV",24461,"21,200",86.67%,"3,261",13.33%,,4,,0,,"19,638",0,"1,562",0,"1,552",0,"1,113",0,517,0,79,0,,10.03,14.74,7.81
"(V04) (542) Coatesville, PA",8857,"8,763",98.94%,94,1.06%,,6,,0,,"8,492",0,271,0,69,0,17,0,4,0,4,0,,1.42,4.28,1.07
"(V04) (562) Erie, PA",12514,"11,749",93.89%,765,6.11%,,9,,20,,"11,210",12,539,3,551,5,209,0,2,0,3,0,,10.22,7.94,0.33
"(V04) (595) Lebanon, PA",43581,"42,710",98.00%,871,2.00%,,11,,26,,"40,989",9,"1,721",3,603,10,199,4,53,0,16,0,,1.78,4.09,2.65
"(V04) (642) Philadelphia, PA",61615,"55,883",90.70%,"5,732",9.30%,,11,,133,,"52,013",62,"3,870",19,"2,354",13,"1,328",7,573,11,"1,477",21,,5.44,14.91,5.41
"(V04) (646) Pittsburgh, PA",67390,"65,638",97.40%,"1,752",2.60%,,4,,70,,"62,449",68,"3,189",2,"1,217",0,324,0,138,0,73,0,,3.82,4.11,2.1
"(V04) (693) Wilkes‰ÛêBarre, PA",23986,"23,260",96.97%,726,3.03%,,4,,20,,"22,654",16,606,1,493,3,209,0,23,0,1,0,,4.59,2,3
(V04) (693GB) Williamsport,1195,"1,185",99.16%,10,0.84%,,0,,0,,"1,157",0,28,0,6,0,4,0,0,0,0,0,,1.9,2.21,1.61
"(V05) (512) Baltimore HCS, MD",51989,"47,729",91.81%,"4,260",8.19%,,10,,134,,"44,083",107,"3,646",8,"2,384",5,"1,183",0,589,2,104,12,,12.39,7.7,3.93
"(V05) (613) Martinsburg, WV",34329,"33,149",96.56%,"1,180",3.44%,,2,,40,,"31,795",4,"1,354",8,657,27,311,1,125,0,87,0,,5.02,6.09,2.68
