,Location_x,Appts_Total_2016,PC_Wait_2016,Appts<31_16,%Appts<31_16,VISN,Facility,Is_Station,Station,NbrEmps,ORGANIZATION,MAY-FY11,MAY-FY12,MAY-FY13,MAY-FY14,MAY-FY15,MAY-FY16,percent_of_staff_14,Location_y,Appts_Total_2014_x,Appts<31_14_x,%Appts<31_14_x,PC_Wait_2014_x,Location,Appts_Total_2014_y,Appts<31_14_y,%Appts<31_14_y,PC_Wait_2014_y
10,"(V02) (528) Albany, NY",41366,5.72,"38,275",0.93,02,528,True,528,13,(V02) (528) HCS BUFFALO NY,6584,6624.0,6566,6678,6751,6735,0.00194669062594,"(V02) (528) Albany, NY",31376,30386,0.9684,2.33,"(V02) (528) Western New York, NY",42761,41382,0.9678,4.34
11,"(V02) (528) Albany, NY",41366,5.72,"38,275",0.93,02,528,True,528,13,(V02) (528) HCS BUFFALO NY,6584,6624.0,6566,6678,6751,6735,0.00194669062594,"(V02) (528) Albany, NY",31376,30386,0.9684,2.33,"(V02) (528) Canandaigua, NY",14061,13723,0.976,5.12
12,"(V02) (528) Albany, NY",41366,5.72,"38,275",0.93,02,528,True,528,13,(V02) (528) HCS BUFFALO NY,6584,6624.0,6566,6678,6751,6735,0.00194669062594,"(V02) (528) Albany, NY",31376,30386,0.9684,2.33,"(V02) (528) Syracuse, NY",48461,44793,0.9243,2.58
13,"(V02) (528) Albany, NY",41366,5.72,"38,275",0.93,02,528,True,528,13,(V02) (528) HCS BUFFALO NY,6584,6624.0,6566,6678,6751,6735,0.00194669062594,"(V02) (528) Bath, NY",14816,14194,0.958,3.35,"(V02) (528) Albany, NY",31376,30386,0.9684,2.33
14,"(V02) (528) Albany, NY",41366,5.72,"38,275",0.93,02,528,True,528,13,(V02) (528) HCS BUFFALO NY,6584,6624.0,6566,6678,6751,6735,0.00194669062594,"(V02) (528) Bath, NY",14816,14194,0.958,3.35,"(V02) (528) Bath, NY",14816,14194,0.958,3.35
15,"(V02) (528) Albany, NY",41366,5.72,"38,275",0.93,02,528,True,528,13,(V02) (528) HCS BUFFALO NY,6584,6624.0,6566,6678,6751,6735,0.00194669062594,"(V02) (528) Bath, NY",14816,14194,0.958,3.35,"(V02) (528) Western New York, NY",42761,41382,0.9678,4.34
16,"(V02) (528) Albany, NY",41366,5.72,"38,275",0.93,02,528,True,528,13,(V02) (528) HCS BUFFALO NY,6584,6624.0,6566,6678,6751,6735,0.00194669062594,"(V02) (528) Bath, NY",14816,14194,0.958,3.35,"(V02) (528) Canandaigua, NY",14061,13723,0.976,5.12
17,"(V02) (528) Albany, NY",41366,5.72,"38,275",0.93,02,528,True,528,13,(V02) (528) HCS BUFFALO NY,6584,6624.0,6566,6678,6751,6735,0.00194669062594,"(V02) (528) Bath, NY",14816,14194,0.958,3.35,"(V02) (528) Syracuse, NY",48461,44793,0.9243,2.58
18,"(V02) (528) Albany, NY",41366,5.72,"38,275",0.93,02,528,True,528,13,(V02) (528) HCS BUFFALO NY,6584,6624.0,6566,6678,6751,6735,0.00194669062594,"(V02) (528) Western New York, NY",42761,41382,0.9678,4.34,"(V02) (528) Albany, NY",31376,30386,0.9684,2.33
19,"(V02) (528) Albany, NY",41366,5.72,"38,275",0.93,02,528,True,528,13,(V02) (528) HCS BUFFALO NY,6584,6624.0,6566,6678,6751,6735,0.00194669062594,"(V02) (528) Western New York, NY",42761,41382,0.9678,4.34,"(V02) (528) Bath, NY",14816,14194,0.958,3.35
20,"(V02) (528) Albany, NY",41366,5.72,"38,275",0.93,02,528,True,528,13,(V02) (528) HCS BUFFALO NY,6584,6624.0,6566,6678,6751,6735,0.00194669062594,"(V02) (528) Western New York, NY",42761,41382,0.9678,4.34,"(V02) (528) Western New York, NY",42761,41382,0.9678,4.34
21,"(V02) (528) Albany, NY",41366,5.72,"38,275",0.93,02,528,True,528,13,(V02) (528) HCS BUFFALO NY,6584,6624.0,6566,6678,6751,6735,0.00194669062594,"(V02) (528) Western New York, NY",42761,41382,0.9678,4.34,"(V02) (528) Canandaigua, NY",14061,13723,0.976,5.12
22,"(V02) (528) Albany, NY",41366,5.72,"38,275",0.93,02,528,True,528,13,(V02) (528) HCS BUFFALO NY,6584,6624.0,6566,6678,6751,6735,0.00194669062594,"(V02) (528) Western New York, NY",42761,41382,0.9678,4.34,"(V02) (528) Syracuse, NY",48461,44793,0.9243,2.58
23,"(V02) (528) Albany, NY",41366,5.72,"38,275",0.93,02,528,True,528,13,(V02) (528) HCS BUFFALO NY,6584,6624.0,6566,6678,6751,6735,0.00194669062594,"(V02) (528) Canandaigua, NY",14061,13723,0.976,5.12,"(V02) (528) Albany, NY",31376,30386,0.9684,2.33
24,"(V02) (528) Albany, NY",41366,5.72,"38,275",0.93,02,528,True,528,13,(V02) (528) HCS BUFFALO NY,6584,6624.0,6566,6678,6751,6735,0.00194669062594,"(V02) (528) Canandaigua, NY",14061,13723,0.976,5.12,"(V02) (528) Bath, NY",14816,14194,0.958,3.35
25,"(V02) (528) Albany, NY",41366,5.72,"38,275",0.93,02,528,True,528,13,(V02) (528) HCS BUFFALO NY,6584,6624.0,6566,6678,6751,6735,0.00194669062594,"(V02) (528) Canandaigua, NY",14061,13723,0.976,5.12,"(V02) (528) Western New York, NY",42761,41382,0.9678,4.34
26,"(V02) (528) Albany, NY",41366,5.72,"38,275",0.93,02,528,True,528,13,(V02) (528) HCS BUFFALO NY,6584,6624.0,6566,6678,6751,6735,0.00194669062594,"(V02) (528) Canandaigua, NY",14061,13723,0.976,5.12,"(V02) (528) Canandaigua, NY",14061,13723,0.976,5.12
27,"(V02) (528) Albany, NY",41366,5.72,"38,275",0.93,02,528,True,528,13,(V02) (528) HCS BUFFALO NY,6584,6624.0,6566,6678,6751,6735,0.00194669062594,"(V02) (528) Canandaigua, NY",14061,13723,0.976,5.12,"(V02) (528) Syracuse, NY",48461,44793,0.9243,2.58
28,"(V02) (528) Albany, NY",41366,5.72,"38,275",0.93,02,528,True,528,13,(V02) (528) HCS BUFFALO NY,6584,6624.0,6566,6678,6751,6735,0.00194669062594,"(V02) (528) Syracuse, NY",48461,44793,0.9243,2.58,"(V02) (528) Albany, NY",31376,30386,0.9684,2.33
29,"(V02) (528) Albany, NY",41366,5.72,"38,275",0.93,02,528,True,528,13,(V02) (528) HCS BUFFALO NY,6584,6624.0,6566,6678,6751,6735,0.00194669062594,"(V02) (528) Syracuse, NY",48461,44793,0.9243,2.58,"(V02) (528) Bath, NY",14816,14194,0.958,3.35
30,"(V02) (528) Albany, NY",41366,5.72,"38,275",0.93,02,528,True,528,13,(V02) (528) HCS BUFFALO NY,6584,6624.0,6566,6678,6751,6735,0.00194669062594,"(V02) (528) Syracuse, NY",48461,44793,0.9243,2.58,"(V02) (528) Western New York, NY",42761,41382,0.9678,4.34
31,"(V02) (528) Albany, NY",41366,5.72,"38,275",0.93,02,528,True,528,13,(V02) (528) HCS BUFFALO NY,6584,6624.0,6566,6678,6751,6735,0.00194669062594,"(V02) (528) Syracuse, NY",48461,44793,0.9243,2.58,"(V02) (528) Canandaigua, NY",14061,13723,0.976,5.12
32,"(V02) (528) Albany, NY",41366,5.72,"38,275",0.93,02,528,True,528,13,(V02) (528) HCS BUFFALO NY,6584,6624.0,6566,6678,6751,6735,0.00194669062594,"(V02) (528) Syracuse, NY",48461,44793,0.9243,2.58,"(V02) (528) Syracuse, NY",48461,44793,0.9243,2.58
33,"(V03) (526) Bronx, NY",31772,5.04,"31,241",0.98,03,526,True,526,22,(V03) (526) MC BRONX NY,1898,1819.0,1756,1777,1827,1892,0.0123804164322,"(V03) (526) Bronx, NY",20917,20195,0.9655,4.32,"(V03) (526) Bronx, NY",20917,20195,0.9655,4.32
34,"(V03) (561) New Jersey HCS, NJ",49662,1.78,"47,136",0.95,03,561,True,561,26,(V03) (561) HCS EAST ORANGE NJ,2795,2762.0,2820,2813,2805,2863,0.00924280127977,"(V03) (561) New Jersey HCS, NJ",40291,38640,0.959,1.53,"(V03) (561) New Jersey HCS, NJ",40291,38640,0.959,1.53
35,"(V03) (620) VA Hudson Valley HCS, NY",21020,3.29,"20,824",0.99,03,620,True,620,6,(V03) (620) HCS MONTROSE NY,1553,1532.0,1543,1557,1496,1471,0.00385356454721,"(V03) (620) VA Hudson Valley HCS, NY",19748,19279,0.9763,4.3,"(V03) (620) VA Hudson Valley HCS, NY",19748,19279,0.9763,4.3
36,"(V03) (630) New York Harbor HCS, NY",46766,4.02,"45,542",0.97,03,630,True,630,27,(V03) (630) HCS NEW YORK NY,3650,3587.0,3547,3679,3668,3567,0.00733895080185,"(V03) (630) New York Harbor HCS, NY",50081,49426,0.9869,1.25,"(V03) (630) New York Harbor HCS, NY",50081,49426,0.9869,1.25
37,"(V03) (632) Northport, NY",39218,6.02,"37,759",0.96,03,632,True,632,27,(V03) (632) MC NORTHPORT L I NY,1816,1856.0,1912,1895,1901,1875,0.0142480211082,"(V03) (632) Northport, NY",34758,33946,0.9766,5.31,"(V03) (632) Northport, NY",34758,33946,0.9766,5.31
38,"(V04) (460) Wilmington, DE",32710,4.06,"30,414",0.93,04,460,True,460,19,(V04) (460) MROC WILMINGTON DE,916,916.0,941,933,940,915,0.0203644158628,"(V04) (460) Wilmington, DE",23238,21454,0.9232,16.97,"(V04) (460) Wilmington, DE",23238,21454,0.9232,16.97
39,"(V04) (503) Altoona, PA",23642,4.45,"23,516",0.99,04,503,True,503,16,(V04) (503) MC ALTOONA PA,637,615.0,625,657,681,670,0.0243531202435,"(V04) (503) Altoona, PA",29386,28894,0.9833,3.21,"(V04) (503) Altoona, PA",29386,28894,0.9833,3.21
40,"(V04) (529) Butler, PA",25791,1.48,"25,682",1.0,04,529,True,529,10,(V04) (529) MC BUTLER PA,589,569.0,565,574,571,577,0.0174216027875,"(V04) (529) Butler, PA",24169,23829,0.9859,0.32,"(V04) (529) Butler, PA",24169,23829,0.9859,0.32
41,"(V04) (540) Clarksburg, WV",25791,5.59,"23,825",0.92,04,540,True,540,33,(V04) (540) MC CLARKSBURG WV,820,814.0,860,881,890,927,0.0374574347333,"(V04) (540) Clarksburg, WV",24461,21200,0.8667,10.03,"(V04) (540) Clarksburg, WV",24461,21200,0.8667,10.03
42,"(V04) (542) Coatesville, PA",14753,1.65,"14,324",0.97,04,542,True,542,14,(V04) (542) MC COATESVILLE PA,1373,1284.0,1261,1295,1275,1222,0.0108108108108,"(V04) (542) Coatesville, PA",8857,8763,0.9894,1.42,"(V04) (542) Coatesville, PA",8857,8763,0.9894,1.42
43,"(V04) (562) Erie, PA",23486,7.01,"22,245",0.95,04,562,True,562,22,(V04) (562) MC ERIE PA,678,669.0,660,689,713,693,0.0319303338171,"(V04) (562) Erie, PA",12514,11749,0.9389,10.22,"(V04) (562) Erie, PA",12514,11749,0.9389,10.22
44,"(V04) (595) Lebanon, PA",69663,3.03,"67,773",0.97,04,595,True,595,26,(V04) (595) MC LEBANON PA,1354,1383.0,1333,1385,1419,1468,0.0187725631769,"(V04) (595) Lebanon, PA",43581,42710,0.98,1.78,"(V04) (595) Lebanon, PA",43581,42710,0.98,1.78
45,"(V04) (642) Philadelphia, PA",69426,5.28,"65,672",0.95,04,642,True,642,54,(V04) (642) MC PHILADELPHIA PA,2192,2125.0,2202,2312,2374,2373,0.0233564013841,"(V04) (642) Philadelphia, PA",61615,55883,0.907,5.44,"(V04) (642) Philadelphia, PA",61615,55883,0.907,5.44
46,"(V04) (646) Pittsburgh, PA",79920,4.92,"76,170",0.95,04,646,True,646,89,(V04) (646) HCS PITTSBURGH PA,3343,3119.0,3192,3406,3672,3647,0.0261303581914,"(V04) (646) Pittsburgh, PA",67390,65638,0.974,3.82,"(V04) (646) Pittsburgh, PA",67390,65638,0.974,3.82
47,"(V04) (693) Wilkes-Barre, PA",49051,2.02,"47,310",0.96,04,693,True,693,39,(V04) (693) MC WILKES BARRE PA,1138,1123.0,1136,1198,1253,1256,0.0325542570952,"(V04) (693) Wilkes‰ÛBarre, PA",23986,23260,0.9697,4.59,"(V04) (693) Wilkes‰ÛBarre, PA",23986,23260,0.9697,4.59
48,"(V05) (512) Baltimore HCS, MD",53145,4.81,"49,070",0.92,05,512,True,512,105,(V05) (512) HCS BALTIMORE MD,3062,3120.0,3194,3215,3269,3411,0.0326594090202,"(V05) (512) Baltimore HCS, MD",51989,47729,0.9181,12.39,"(V05) (512) Baltimore HCS, MD",51989,47729,0.9181,12.39
49,"(V05) (613) Martinsburg, WV",39979,3.39,"37,409",0.94,05,613,True,613,14,(V05) (613) MC MARTINSBURG WV,1612,1548.0,1616,1672,1759,1805,0.00837320574163,"(V05) (613) Martinsburg, WV",34329,33149,0.9656,5.02,"(V05) (613) Martinsburg, WV",34329,33149,0.9656,5.02
50,"(V05) (688) Washington, DC",50602,4.81,"48,317",0.95,05,688,True,688,48,(V05) (688) MC WASHINGTON DC,2240,2228.0,2249,2398,2515,2465,0.0200166805671,"(V05) (688) Washington, DC",41268,38836,0.9411,7.91,"(V05) (688) Washington, DC",41268,38836,0.9411,7.91
51,"(V06) (517) Beckley, WV",14034,5.07,"13,009",0.93,06,517,True,517,4,(V06) (517) MC BECKLEY WV,724,743.0,762,797,785,767,0.00501882057716,"(V06) (517) Beckley, WV",15041,14221,0.9455,4.94,"(V06) (517) Beckley, WV",15041,14221,0.9455,4.94
52,"(V06) (558) Durham, NC",75922,6.41,"67,219",0.89,06,558,True,558,27,(V06) (558) MC DURHAM NC,2497,2574.0,2911,3240,3457,3458,0.00833333333333,"(V06) (558) Durham, NC",68311,62314,0.9122,13.75,"(V06) (558) Durham, NC",68311,62314,0.9122,13.75
53,"(V06) (565) Fayetteville, NC",73949,5.5,"63,304",0.86,06,565,True,565,60,(V06) (565) MC FAYETTEVILLE NC,1142,1194.0,1283,1458,1596,1881,0.0411522633745,"(V06) (565) Fayetteville, NC",42218,33639,0.7968,28.45,"(V06) (565) Fayetteville, NC",42218,33639,0.7968,28.45
54,"(V06) (590) Hampton, VA",62269,7.86,"56,174",0.9,06,590,True,590,42,(V06) (590) MC HAMPTON VA,1593,1586.0,1651,1703,1771,1805,0.0246623605402,"(V06) (590) Hampton, VA",33032,26610,0.8056,30.53,"(V06) (590) Hampton, VA",33032,26610,0.8056,30.53
55,"(V06) (637) Asheville, NC",48628,6.54,"42,816",0.88,06,637,True,637,30,(V06) (637) MC ASHEVILLE NC,1500,1541.0,1588,1712,1737,1798,0.017523364486,"(V06) (637) Asheville, NC",34621,33026,0.9539,8.65,"(V06) (637) Asheville, NC",34621,33026,0.9539,8.65
56,"(V06) (652) Richmond, VA",77942,5.21,"70,240",0.9,06,652,True,652,37,(V06) (652) MC RICHMOND VA,2296,2460.0,2631,2729,3001,3333,0.0135580798827,"(V06) (652) Richmond, VA",63003,59877,0.9504,9.24,"(V06) (652) Richmond, VA",63003,59877,0.9504,9.24
57,"(V06) (658) Salem, VA",58989,5.64,"52,689",0.89,06,658,True,658,30,(V06) (658) MC SALEM VA,1808,1804.0,1922,1982,1870,1907,0.0151362260343,"(V06) (658) Salem, VA",40073,38153,0.9521,3.27,"(V06) (658) Salem, VA",40073,38153,0.9521,3.27
58,"(V06) (659) Salisbury, NC",90192,4.25,"80,622",0.89,06,659,True,659,45,(V06) (659) MC SALISBURY NC,2159,2131.0,2258,2450,2582,2721,0.0183673469388,"(V06) (659) Salisbury, NC",74731,66798,0.8938,6.14,"(V06) (659) Salisbury, NC",74731,66798,0.8938,6.14
59,"(V07) (508) Atlanta, GA",121853,7.07,"112,734",0.93,07,508,True,508,111,(V07) (508) MC ATLANTA GA,2983,3121.0,3382,3712,4028,4487,0.0299030172414,"(V07) (508) Atlanta, GA",112008,103243,0.9217,19.17,"(V07) (508) Atlanta, GA",112008,103243,0.9217,19.17
60,"(V07) (509) Augusta, GA",47675,9.58,"44,265",0.93,07,509,True,509,28,(V07) (509) MC AUGUSTA GA,2402,2406.0,2381,2361,2445,2512,0.011859381618,"(V07) (509) Augusta, GA",35052,33367,0.9519,6.74,"(V07) (509) Augusta, GA",35052,33367,0.9519,6.74
61,"(V07) (521) Birmingham, AL",71558,6.83,"66,458",0.93,07,521,True,521,13,(V07) (521) MC BIRMINGHAM AL,2095,2072.0,2154,2237,2396,2537,0.00581135449262,"(V07) (521) Birmingham, AL",50212,47517,0.9463,2.51,"(V07) (521) Birmingham, AL",50212,47517,0.9463,2.51
62,"(V07) (534) Charleston, SC",64443,3.77,"60,847",0.94,07,534,True,534,113,(V07) (534) MC CHARLESTON SC,1720,1803.0,1873,1992,2215,2409,0.0567269076305,"(V07) (534) Charleston, SC",40782,39134,0.9596,4.25,"(V07) (534) Charleston, SC",40782,39134,0.9596,4.25
63,"(V07) (544) Columbia, SC",86056,8.89,"76,584",0.89,07,544,True,544,66,(V07) (544) MC COLUMBIA SC,1877,1936.0,2057,2124,2351,2487,0.0310734463277,"(V07) (544) Columbia, SC",63394,58317,0.9199,10.4,"(V07) (544) Columbia, SC",63394,58317,0.9199,10.4
64,"(V07) (557) Dublin, GA",28284,12.53,"22,968",0.81,07,557,True,557,26,(V07) (557) MC DUBLIN GA,983,1016.0,1060,1154,1284,1349,0.0225303292894,"(V07) (557) Dublin, GA",25751,21808,0.8469,20.04,"(V07) (557) Dublin, GA",25751,21808,0.8469,20.04
65,"(V07) (619) Central Alabama Veterans HCS, AL",50845,7.57,"43,888",0.86,07,619,True,619,30,(V07) (619) HCS MONTGOMERY AL,1559,1465.0,1561,1492,1544,1725,0.0201072386059,"(V07) (619) Central Alabama Veterans HCS, AL",33086,25070,0.7577,12.7,"(V07) (619) Central Alabama Veterans HCS, AL",33086,25070,0.7577,12.7
66,"(V07) (679) Tuscaloosa, AL",7010,10.0,"6,224",0.89,07,679,True,679,2,(V07) (679) MC TUSCALOOSA AL,1072,1033.0,1005,1008,1018,1000,0.00198412698413,"(V07) (679) Tuscaloosa, AL",6049,5853,0.9676,9.31,"(V07) (679) Tuscaloosa, AL",6049,5853,0.9676,9.31
67,"(V08) (516) Bay Pines, FL",183958,3.19,"178,785",0.97,08,516,True,516,29,(V08) (516) MC BAY PINES FL,3360,3375.0,3561,3782,4032,4110,0.0076679005817,"(V08) (516) Bay Pines, FL",103097,98753,0.9579,7.17,"(V08) (516) Bay Pines, FL",103097,98753,0.9579,7.17
68,"(V08) (546) Miami, FL",91599,5.88,"86,634",0.95,08,546,True,546,37,(V08) (546) MC MIAMI FL,2680,2592.0,2604,2658,2754,2841,0.0139202407825,"(V08) (546) Miami, FL",51542,49478,0.96,5.78,"(V08) (546) Miami, FL",51542,49478,0.96,5.78
69,"(V08) (548) West Palm Beach, FL",114513,2.58,"109,719",0.96,08,548,True,548,15,(V08) (548) MC W PALM BEACH FL,2226,2228.0,2391,2485,2596,2614,0.00603621730382,"(V08) (548) West Palm Beach, FL",66918,64654,0.9662,1.62,"(V08) (548) West Palm Beach, FL",66918,64654,0.9662,1.62
70,"(V08) (573) Gainesville, FL",257426,5.43,"243,224",0.94,08,573,True,573,75,(V08) (573) HCS GAINESVILLE FL,4833,4719.0,5116,5468,5584,5743,0.0137161667886,"(V08) (573) Gainesville, FL",150045,129151,0.8607,9.38,"(V08) (573) Gainesville, FL",150045,129151,0.8607,9.38
71,"(V08) (672) San Juan, PR",147554,5.55,"141,521",0.96,08,672,True,672,24,(V08) (672) MC SAN JUAN PR,3346,3309.0,3337,3349,3676,3769,0.00716631830397,"(V08) (672) San Juan, PR",125488,124030,0.9884,2.42,"(V08) (672) San Juan, PR",125488,124030,0.9884,2.42
72,"(V08) (673) Tampa, FL",180908,2.26,"176,270",0.97,08,673,True,673,68,(V08) (673) MC TAMPA FL,4508,4269.0,4380,4587,4763,4883,0.0148245040331,"(V08) (673) Tampa, FL",122359,113924,0.9311,1.37,"(V08) (673) Tampa, FL",122359,113924,0.9311,1.37
73,"(V08) (675) Orlando, FL",212838,5.55,"199,976",0.94,08,675,True,675,32,(V08) (675) MC ORLANDO FL,1991,2239.0,2464,2668,2914,3708,0.0119940029985,"(V08) (675) Orlando, FL",102342,96517,0.9431,3.21,"(V08) (675) Orlando, FL",102342,96517,0.9431,3.21
74,"(V09) (581) Huntington, WV",40147,4.24,"37,766",0.94,09,581,True,581,35,(V09) (581) MC HUNTINGTON WV,1126,1119.0,1156,1171,1229,1271,0.0298889837746,"(V09) (581) Huntington, WV",29070,27449,0.9442,7.7,"(V09) (581) Huntington, WV",29070,27449,0.9442,7.7
75,"(V09) (596) Lexington, KY",28272,2.99,"26,573",0.94,09,596,True,596,32,(V09) (596) MC LEXINGTON KY,1783,1723.0,1820,1905,1958,2053,0.0167979002625,"(V09) (596) Lexington, KY",33802,30711,0.9086,7.6,"(V09) (596) Lexington, KY",33802,30711,0.9086,7.6
76,"(V09) (603) Louisville, KY",54529,3.78,"53,420",0.98,09,603,True,603,38,(V09) (603) MC LOUISVILLE KY,1634,1665.0,1750,1706,1841,1847,0.0222743259086,"(V09) (603) Louisville, KY",46180,45236,0.9796,4.13,"(V09) (603) Louisville, KY",46180,45236,0.9796,4.13
77,"(V09) (614) Memphis, TN",56531,3.85,"54,491",0.96,09,614,True,614,24,(V09) (614) MC MEMPHIS TN,2253,2194.0,2333,2327,2310,2346,0.0103137086377,"(V09) (614) Memphis, TN",57905,56238,0.9712,2.56,"(V09) (614) Memphis, TN",57905,56238,0.9712,2.56
78,"(V09) (621) Mountain Home, TN",94360,5.52,"90,601",0.96,09,621,True,621,32,(V09) (621) MC MOUNTAIN HOME TN,2087,2078.0,2120,2181,2280,2317,0.0146721687299,"(V09) (621) Mountain Home, TN",75141,72274,0.9618,7.51,"(V09) (621) Mountain Home, TN",75141,72274,0.9618,7.51
79,"(V09) (626) Middle Tennessee HCS, TN",146338,7.22,"137,022",0.94,09,626,True,626,107,(V09) (626) HCS NASHVILLE TN,3448,3488.0,3589,3749,3975,4138,0.0285409442518,"(V09) (626) Middle Tennessee HCS, TN",130280,120403,0.9242,10.71,"(V09) (626) Middle Tennessee HCS, TN",130280,120403,0.9242,10.71
80,"(V10) (538) Chillicothe, OH",18566,5.95,"16,790",0.9,10,538,True,538,4,(V10) (538) MC CHILLICOTHE OH,1368,1393.0,1423,1401,1411,1430,0.0028551034975,"(V10) (538) Chillicothe, OH",15904,14204,0.8931,4.41,"(V10) (538) Chillicothe, OH",15904,14204,0.8931,4.41
81,"(V10) (539) Cincinnati, OH",50102,2.48,"48,071",0.96,10,539,True,539,34,(V10) (539) MC CINCINNATI OH,2043,2097.0,2147,2172,2168,2225,0.0156537753223,"(V10) (539) Cincinnati, OH",39991,38405,0.9603,1.74,"(V10) (539) Cincinnati, OH",39991,38405,0.9603,1.74
82,"(V10) (541) Cleveland, OH",93682,3.87,"86,528",0.92,10,541,True,541,28,(V10) (541) MC CLEVELAND OH,4516,4485.0,4431,4518,4632,4825,0.00619743249225,"(V10) (541) Cleveland, OH",67463,64510,0.9562,4.83,"(V10) (541) Cleveland, OH",67463,64510,0.9562,4.83
83,"(V10) (552) Dayton, OH",28155,2.27,"26,497",0.94,10,552,True,552,25,(V10) (552) MC DAYTON OH,2020,1978.0,2085,2072,2162,2230,0.0120656370656,"(V10) (552) Dayton, OH",23145,22503,0.9723,0.81,"(V10) (552) Dayton, OH",23145,22503,0.9723,0.81
84,"(V10) (757) Columbus, OH",49569,7.7,"43,506",0.88,10,757,True,757,28,(V10) (757) ACC COLUMBUS OH,886,924.0,944,1031,1093,1160,0.0271580989331,"(V10) (757) Columbus, OH",36642,33389,0.9112,9.79,"(V10) (757) Columbus, OH",36642,33389,0.9112,9.79
85,"(V11) (506) Ann Arbor, MI",62512,5.76,"56,994",0.91,11,506,True,506,70,(V11) (506) HCS ANN ARBOR MI,2057,2190.0,2346,2447,2591,2626,0.028606456886,"(V11) (506) Ann Arbor, MI",50032,47030,0.94,5.2,"(V11) (506) Ann Arbor, MI",50032,47030,0.94,5.2
86,"(V11) (515) Battle Creek, MI",27859,3.54,"26,523",0.95,11,515,True,515,18,(V11) (515) MC BATTLE CREEK MI,1279,1348.0,1381,1460,1538,1620,0.0123287671233,"(V11) (515) Battle Creek, MI",21849,20324,0.9302,3.53,"(V11) (515) Battle Creek, MI",21849,20324,0.9302,3.53
