,Location_x,Appts_Total_2016,PC_Wait_2016,Appts<31_16,%Appts<31_16,VISN,Facility,Is_Station,Station,NbrEmps,ORGANIZATION,MAY-FY11,MAY-FY12,MAY-FY13,MAY-FY14,MAY-FY15,MAY-FY16,percent_of_staff_14,Location_y,Appts_Total_2014_x,Appts<31_14_x,%Appts<31_14_x,PC_Wait_2014_x,Location,Appts_Total_2014_y,Appts<31_14_y,%Appts<31_14_y,PC_Wait_2014_y
0,"(V01) (402) Togus, ME",43609,7.82,"41,785",0.96,01,402,True,402,23,(V01) (402) HCS TOGUS ME,1293,1272.0,1248,1283,1335,1446,0.0179267342167,"(V01) (402) Togus, ME",42899,41740,0.973,2.51,"(V01) (402) Togus, ME",42899,41740,0.973,2.51
1,"(V01) (405) White River Junction, VT",21091,6.09,"20,284",0.96,01,405,True,405,24,(V01) (405) MROC WHT RIVER JCT VT,852,853.0,881,921,1022,1177,0.0260586319218,"(V01) (405) White River Junction, VT",23709,23197,0.9784,3.92,"(V01) (405) White River Junction, VT",23709,23197,0.9784,3.92
2,"(V01) (518) Bedford, MA",14456,0.6,"13,366",0.92,01,518,True,518,5,(V01) (518) MC BEDFORD MA,1313,1265.0,1245,1251,1297,1352,0.00399680255795,"(V01) (518) Bedford, MA",8105,7686,0.9483,1.12,"(V01) (518) Bedford, MA",8105,7686,0.9483,1.12
3,"(V01) (523) VA Boston HCS, MA",84373,14.46,"80,635",0.96,01,523,True,523,28,(V01) (523) HCS BOSTON MA,4022,4011.0,4041,4032,4123,4303,0.00694444444444,"(V01) (523) VA Boston HCS, MA",85625,84158,0.9829,1.66,"(V01) (523) VA Boston HCS, MA",85625,84158,0.9829,1.66
4,"(V01) (608) Manchester, NH",25424,5.75,"24,384",0.96,01,608,True,608,19,(V01) (608) MC MANCHESTER NH,663,683.0,691,686,759,803,0.0276967930029,"(V01) (608) Manchester, NH",19511,18996,0.9736,2.66,"(V01) (608) Manchester, NH",19511,18996,0.9736,2.66
5,(V01) (631) VA Central Western MassachusettsHCS,28207,7.88,"26,256",0.93,01,631,True,631,15,(V01) (631) MC NORTHAMPTON MA,639,726.0,767,795,803,876,0.0188679245283,(V01) (631) VA Central Western Massachusetts HCS,22602,20510,0.9074,10.54,(V01) (631) VA Central Western Massachusetts HCS,22602,20510,0.9074,10.54
6,"(V01) (650) Providence, RI",55615,7.0,"53,872",0.97,01,650,True,650,39,(V01) (650) MC PROVIDENCE RI,1215,1262.0,1279,1342,1406,1474,0.0290611028316,"(V01) (650) Providence, RI",38893,37289,0.9588,7.4,"(V01) (650) Providence, RI",38893,37289,0.9588,7.4
7,"(V01) (689) VA Connecticut HCS, CT",55207,1.96,"53,335",0.97,01,689,True,689,18,(V01) (689) HCS WEST HAVEN CT,2477,2541.0,2623,2812,2926,2972,0.00640113798009,"(V01) (689) VA Connecticut HCS, CT",49615,48532,0.9782,2.35,"(V01) (689) VA Connecticut HCS, CT",49615,48532,0.9782,2.35
8,"(V02) (528) Albany, NY",41366,5.72,"38,275",0.93,02,528,True,528,13,(V02) (528) HCS BUFFALO NY,6584,6624.0,6566,6678,6751,6735,0.00194669062594,"(V02) (528) Albany, NY",31376,30386,0.9684,2.33,"(V02) (528) Albany, NY",31376,30386,0.9684,2.33
9,"(V02) (528) Albany, NY",41366,5.72,"38,275",0.93,02,528,True,528,13,(V02) (528) HCS BUFFALO NY,6584,6624.0,6566,6678,6751,6735,0.00194669062594,"(V02) (528) Albany, NY",31376,30386,0.9684,2.33,"(V02) (528) Bath, NY",14816,14194,0.958,3.35
