Location,"Total Appts
Completed1","Appts
completed
in 30 Days
or under2","Percent
Appts
completed
in 30 Days
or under3","Appts
completed
in over 30
Days4","Percent
Appts
completed
in over 30
Days5","Appts
Completed
Between
0 - 14
Days6","Appts
Completed
Between
15 - 30
Days7","Appts
Completed
Between
31 - 60
days8","Appts
Completed
Between
61 - 90
Days9","Appts
Completed
Between
91 - 120
Days10","Appts
Completed
Beyond 120
Days11","PC Avg
Wait Time
in Days12","SC Avg
Wait Time
in Days13","MH Avg
Wait Time
in Days14"
"(V07) (679) Tuscaloosa, AL",10196,10164,0.9969,32,0.0031,"10,039",125,30,1,1,0,2.29,0.14,1.03
"(V08) (516) Bay Pines, FL",83817,82416,0.9833,"1,401",0.0167,"79,720","2,696","1,096",251,40,14,2.46,3.64,2.81
"(V08) (546) Miami, FL",54791,54013,0.9858,778,0.0142,"52,915","1,098",611,148,9,10,2.11,3.09,0.61
"(V08) (548) West Palm Beach, FL",54915,54096,0.9851,819,0.0149,"52,722","1,374",670,116,32,1,1.04,3.21,1.35
"(V08) (573) Gainesville, FL",90218,83090,0.921,"7,128",0.0790,"78,147","4,943","4,560","1,897",476,195,7.06,10.5,2.37
"(V08) (672) San Juan, PR",77005,76570,0.9944,435,0.0056,"75,947",623,263,78,75,19,1.12,1.08,2.03
"(V08) (673) Tampa, FL",69444,67514,0.9722,"1,930",0.0278,"65,220","2,294","1,211",470,231,18,1.89,4.6,2.48
"(V08) (675) Orlando, FL",72045,70734,0.9818,"1,311",0.0182,"69,342","1,392",874,348,66,23,1.01,3.53,0.84
"(V09) (581) Huntington, WV",26895,26158,0.9726,737,0.0274,"25,090","1,068",677,60,0,0,4.2,3.52,1.51
"(V09) (596) Lexington, KY",28712,28049,0.9769,663,0.0231,"25,679","2,370",585,70,7,1,3.45,5.59,2.36
"(V09) (603) Louisville, KY",38286,37955,0.9914,331,0.0086,"37,244",711,246,71,12,2,1.78,3.23,1.79
"(V09) (614) Memphis, TN",47323,46741,0.9877,582,0.0123,"45,963",778,416,141,15,10,1.18,2.65,1.64
"(V09) (621) Mountain Home, TN",37942,37085,0.9774,857,0.0226,"35,919","1,166",600,190,57,10,4.66,2.82,1.66
"(V09) (626) Middle Tennessee HCS, TN",64484,62338,0.9667,"2,146",0.0333,"59,780","2,558","1,675",346,84,41,6.09,3.1,3.9
"(V10) (538) Chillicothe, OH",16966,16334,0.9627,632,0.0373,"15,495",839,528,98,5,1,4.78,6.07,2.97
"(V10) (539) Cincinnati, OH",39409,38827,0.9852,582,0.0148,"38,066",761,510,62,8,2,1.34,3.53,0.92
"(V10) (541) Cleveland, OH",83417,81652,0.9788,"1,765",0.0212,"78,188","3,464","1,675",77,12,1,2.58,3.59,2.08
"(V10) (552) Dayton, OH",27992,27502,0.9825,490,0.0175,"26,742",760,440,46,4,0,0.8,3.56,1.3
"(V10) (757) Columbus, OH",32064,30838,0.9618,"1,226",0.0382,"29,007","1,831",928,228,65,5,5.49,5.81,1.94
"(V11) (506) Ann Arbor, MI",38949,37620,0.9659,"1,329",0.0341,"36,353","1,267",996,269,50,14,2.73,4.05,1.85
"(V11) (515) Battle Creek, MI",26751,26026,0.9729,725,0.0271,"25,151",875,639,84,2,0,1.33,5.21,1.12
"(V11) (550) Danville, IL",20654,20291,0.9824,363,0.0176,"19,813",478,293,66,2,2,1.74,3.03,1.71
"(V11) (553) Detroit, MI",31610,31473,0.9957,137,0.0043,"31,170",303,104,23,9,1,0.85,1.11,0.31
"(V11) (583) Indianapolis, IN",45402,44546,0.9811,856,0.0189,"42,901","1,645",720,113,16,7,1.73,3.57,2.95
"(V11) (610) Northern Indiana HCS, IN",29900,29384,0.9827,516,0.0173,"28,124","1,260",457,53,3,3,3.41,4.07,1.8
"(V11) (655) Saginaw, MI",24707,24324,0.9845,383,0.0155,"23,449",875,338,41,2,2,0.3,3.78,1.41
"(V12) (537) Jesse Brown VAMC (Chicago), IL",39352,37931,0.9639,"1,421",0.0361,"36,463","1,468","1,178",231,12,0,4.9,5.11,1.28
(V12) (556) Captain James A Lovell FHCC,29736,29604,0.9956,132,0.0044,"28,936",668,124,8,0,0,1.16,2.59,1.8
"(V12) (578) Hines, IL",45087,42661,0.9462,"2,426",0.0538,"40,773","1,888","1,847",571,8,0,5.29,6.03,4.65
"(V12) (585) Iron Mountain, MI",11450,11158,0.9745,292,0.0255,"10,604",554,254,37,1,0,3.7,4.45,2.14
"(V12) (607) Madison, WI",26182,25731,0.9828,451,0.0172,"24,711","1,020",401,39,6,5,3.85,2.66,2.12
"(V12) (676) Tomah, WI",17161,16961,0.9883,200,0.0117,"16,463",498,180,17,3,0,2.44,2.99,1.47
"(V12) (695) Milwaukee, WI",54663,53255,0.9742,"1,408",0.0258,"51,806","1,449","1,133",251,16,8,0.83,4.6,1.79
"(V15) (589) Columbia, MO",24293,23984,0.9873,309,0.0127,"23,583",401,251,37,10,11,2.1,2.53,1.13
"(V15) (589) Kansas City, MO",29310,28654,0.9776,656,0.0224,"27,924",730,468,174,11,3,1.49,3.55,1.25
"(V15) (589) Eastern KS HCS, KS",31391,31021,0.9882,370,0.0118,"30,540",481,330,38,2,0,1.17,2.65,0.71
"(V15) (589) Wichita, KS",19135,18850,0.9851,285,0.0149,"18,361",489,224,50,10,1,2.07,4.01,1.77
"(V15) (657) Marion, IL",24741,24093,0.9738,648,0.0262,"22,980","1,113",401,242,4,1,2.43,5.22,3.47
"(V15) (657) Poplar Bluff, MO",13346,12985,0.973,361,0.0270,"12,563",422,317,42,2,0,2,6.58,1.81
"(V15) (657) St. Louis, MO",41239,40594,0.9844,645,0.0156,"39,151","1,443",415,119,77,34,1.31,4.16,3.43
"(V16) (502) Alexandria, LA",21739,21208,0.9756,531,0.0244,"20,525",683,431,76,17,7,2.15,4.77,2.09
"(V16) (520) Gulf Coast HCS, MS",49730,47239,0.9499,"2,491",0.0501,"44,562","2,677","1,992",375,119,5,8.2,6.35,4.37
"(V16) (564) Fayetteville, AR",32228,31239,0.9693,989,0.0307,"29,694","1,545",755,206,21,7,2.26,5.25,3.63
"(V16) (580) Houston, TX",75486,73470,0.9733,"2,016",0.0267,"71,197","2,273","1,597",384,26,9,4.02,2.81,1.93
"(V16) (586) Jackson, MS",30605,30120,0.9842,485,0.0158,"29,220",900,423,43,9,10,2.68,3.08,0.94
"(V16) (598) Little Rock, AR",44841,43861,0.9781,980,0.0219,"42,506","1,355",784,133,39,24,4.55,2.53,4.4
"(V16) (623) Muskogee, OK",24501,24024,0.9805,477,0.0195,"23,024","1,000",434,43,0,0,2.62,3.22,2.95
