Complete_Time,Appts_Complete_National,Appts_Complete_Over_30_Days_%_National,PC_Wait_Complete_National,SC_Wait_Complete_National,MH_Wait_Complete_National
National: 8/2016,5219984,0.0368,4.71,6.68,2.75
National: 7/2016,4438995,0.0364,4.72,6.6,2.77
National: 6/2016,4989814,0.0359,4.66,6.45,2.76
National: 5/2016,4877166,0.0329,4.57,6.16,2.51
National: 4/2016,4931526,0.0338,4.68,6.19,2.43
National: 3/2016,5353597,0.0328,4.66,6.13,2.64
National: 2/2016,4744626,0.0354,4.92,6.44,3.03
National: 1/2016,4497268,0.0417,5.2,6.9,3.29
National: 12/2015,4672667,0.0384,4.87,6.44,3.03
National: 11/2015,4388187,0.0365,4.57,6.28,3.03
National: 10/2015,4966790,0.0327,4.01,6.03,3.02
National: 9/2015,4883045,0.033,4.37,5.81,3.07
National: 8/2015,4719582,0.032,4.5,5.67,3.01
National: 7/2015,4828643,0.0301,4.38,5.4,2.94
National: 6/2015,4985100,0.029,4.19,5.14,2.85
National: 5/2015,4546635,0.0264,4.09,4.84,2.68
National: 4/2015,5063122,0.0276,4.15,4.87,2.82
National: 3/2015,5046853,0.028,4.24,5.02,3.18
National: 2/2015,4265529,0.0279,4.28,4.96,3.15
National: 1/2015,4549212,0.0338,4.61,5.47,3.44
National: 12/2014,4578871,0.0287,4.03,4.71,2.75
National: 11/2014,4059004,0.0278,3.88,4.61,2.58
National: 10/2014,5216606,0.0241,3.27,4.32,2.49
National: 9/2014,4871976,0.0272,3.72,4.42,2.51
National: 8/2014,4625958,0.0243,3.57,4.15,2.36
National: 7/2014,4867639,0.0217,3.15,3.87,2.12
National: 6/2014,4723099,0.018,2.57,3.39,1.84
National: 5/2014,4676707,0.0161,2.2,3.2,1.71
