Location,Appts_Total_2014,Appts<31_14,%Appts<31_14,PC_Wait_2014
"(V01) (402) Togus, ME",42899,41740,0.973,2.51
"(V01) (405) White River Junction, VT",23709,23197,0.9784,3.92
"(V01) (518) Bedford, MA",8105,7686,0.9483,1.12
"(V01) (523) VA Boston HCS, MA",85625,84158,0.9829,1.66
"(V01) (608) Manchester, NH",19511,18996,0.9736,2.66
(V01) (631) VA Central Western Massachusetts HCS,22602,20510,0.9074,10.54
"(V01) (650) Providence, RI",38893,37289,0.9588,7.4
"(V01) (689) VA Connecticut HCS, CT",49615,48532,0.9782,2.35
"(V02) (528) Albany, NY",31376,30386,0.9684,2.33
"(V02) (528) Bath, NY",14816,14194,0.958,3.35
"(V02) (528) Western New York, NY",42761,41382,0.9678,4.34
"(V02) (528) Canandaigua, NY",14061,13723,0.976,5.12
"(V02) (528) Syracuse, NY",48461,44793,0.9243,2.58
"(V03) (526) Bronx, NY",20917,20195,0.9655,4.32
"(V03) (561) New Jersey HCS, NJ",40291,38640,0.959,1.53
"(V03) (620) VA Hudson Valley HCS, NY",19748,19279,0.9763,4.3
"(V03) (630) New York Harbor HCS, NY",50081,49426,0.9869,1.25
"(V03) (632) Northport, NY",34758,33946,0.9766,5.31
"(V04) (460) Wilmington, DE",23238,21454,0.9232,16.97
"(V04) (503) Altoona, PA",29386,28894,0.9833,3.21
"(V04) (529) Butler, PA",24169,23829,0.9859,0.32
"(V04) (540) Clarksburg, WV",24461,21200,0.8667,10.03
"(V04) (542) Coatesville, PA",8857,8763,0.9894,1.42
"(V04) (562) Erie, PA",12514,11749,0.9389,10.22
"(V04) (595) Lebanon, PA",43581,42710,0.98,1.78
"(V04) (642) Philadelphia, PA",61615,55883,0.907,5.44
"(V04) (646) Pittsburgh, PA",67390,65638,0.974,3.82
"(V04) (693) Wilkes‰ÛBarre, PA",23986,23260,0.9697,4.59
"(V05) (512) Baltimore HCS, MD",51989,47729,0.9181,12.39
"(V05) (613) Martinsburg, WV",34329,33149,0.9656,5.02
"(V05) (688) Washington, DC",41268,38836,0.9411,7.91
"(V06) (517) Beckley, WV",15041,14221,0.9455,4.94
"(V06) (558) Durham, NC",68311,62314,0.9122,13.75
"(V06) (565) Fayetteville, NC",42218,33639,0.7968,28.45
"(V06) (590) Hampton, VA",33032,26610,0.8056,30.53
"(V06) (637) Asheville, NC",34621,33026,0.9539,8.65
"(V06) (652) Richmond, VA",63003,59877,0.9504,9.24
"(V06) (658) Salem, VA",40073,38153,0.9521,3.27
"(V06) (659) Salisbury, NC",74731,66798,0.8938,6.14
"(V07) (508) Atlanta, GA",112008,103243,0.9217,19.17
"(V07) (509) Augusta, GA",35052,33367,0.9519,6.74
"(V07) (521) Birmingham, AL",50212,47517,0.9463,2.51
"(V07) (534) Charleston, SC",40782,39134,0.9596,4.25
"(V07) (544) Columbia, SC",63394,58317,0.9199,10.4
"(V07) (557) Dublin, GA",25751,21808,0.8469,20.04
"(V07) (619) Central Alabama Veterans HCS, AL",33086,25070,0.7577,12.7
"(V07) (679) Tuscaloosa, AL",6049,5853,0.9676,9.31
"(V08) (516) Bay Pines, FL",103097,98753,0.9579,7.17
"(V08) (546) Miami, FL",51542,49478,0.96,5.78
"(V08) (548) West Palm Beach, FL",66918,64654,0.9662,1.62
"(V08) (573) Gainesville, FL",150045,129151,0.8607,9.38
"(V08) (672) San Juan, PR",125488,124030,0.9884,2.42
"(V08) (673) Tampa, FL",122359,113924,0.9311,1.37
"(V08) (675) Orlando, FL",102342,96517,0.9431,3.21
"(V09) (581) Huntington, WV",29070,27449,0.9442,7.7
"(V09) (596) Lexington, KY",33802,30711,0.9086,7.6
"(V09) (603) Louisville, KY",46180,45236,0.9796,4.13
"(V09) (614) Memphis, TN",57905,56238,0.9712,2.56
"(V09) (621) Mountain Home, TN",75141,72274,0.9618,7.51
"(V09) (626) Middle Tennessee HCS, TN",130280,120403,0.9242,10.71
"(V10) (538) Chillicothe, OH",15904,14204,0.8931,4.41
"(V10) (539) Cincinnati, OH",39991,38405,0.9603,1.74
"(V10) (541) Cleveland, OH",67463,64510,0.9562,4.83
"(V10) (552) Dayton, OH",23145,22503,0.9723,0.81
"(V10) (757) Columbus, OH",36642,33389,0.9112,9.79
"(V11) (506) Ann Arbor, MI",50032,47030,0.94,5.2
"(V11) (515) Battle Creek, MI",21849,20324,0.9302,3.53
"(V11) (550) Danville, IL",16276,15567,0.9564,4.69
"(V11) (553) Detroit, MI",37203,36473,0.9804,0.76
"(V11) (583) Indianapolis, IN",50167,47898,0.9548,4.59
"(V11) (610) Northern Indiana HCS, IN",29524,27740,0.9396,9.68
