Location,Appts_Total_2014,Appts<31_14,%Appts<31_14,PC_Wait_2014
"(V11) (655) Saginaw, MI",24652,24285,0.9851,0.65
"(V12) (537) Jesse Brown VAMC (Chicago), IL",43992,41023,0.9325,6.64
(V12) (556) Captain James A Lovell FHCC,14204,13770,0.9694,2.66
"(V12) (578) Hines, IL",49762,43171,0.8675,10.14
"(V12) (585) Iron Mountain, MI",10720,10111,0.9432,4.82
"(V12) (607) Madison, WI",30149,28118,0.9326,8.1
"(V12) (676) Tomah, WI",14364,14060,0.9788,1.28
"(V12) (695) Milwaukee, WI",55515,50519,0.91,1.25
"(V15) (589) Columbia, MO",43676,43200,0.9891,1.95
"(V15) (589) Kansas City, MO",33338,31653,0.9495,5.44
"(V15) (589) Eastern KS HCS, KS",34485,33588,0.974,3.12
"(V15) (589) Wichita, KS",17720,16776,0.9467,4.3
"(V15) (657) Marion, IL",21126,19407,0.9186,4.64
"(V15) (657) Poplar Bluff, MO",11284,10400,0.9217,3.57
"(V15) (657) St. Louis, MO",54377,53489,0.9837,3.57
"(V16) (502) Alexandria, LA",25904,23713,0.9154,4.69
"(V16) (520) Gulf Coast HCS, MS",49790,41519,0.8339,14.8
"(V16) (564) Fayetteville, AR",35151,32438,0.9228,2.86
"(V16) (580) Houston, TX",97792,89102,0.9111,12.43
"(V16) (586) Jackson, MS",37993,36642,0.9644,6.03
"(V16) (598) Little Rock, AR",61736,59104,0.9574,8.37
"(V16) (623) Muskogee, OK",21717,21187,0.9756,3.41
"(V16) (629) New Orleans, LA",40370,35113,0.8698,11.77
"(V16) (635) Oklahoma City, OK",33283,31919,0.959,4.41
"(V16) (667) Shreveport, LA",35854,35000,0.9762,4.82
"(V17) (549) Dallas, TX",83453,80028,0.959,5.28
"(V17) (671) San Antonio, TX",52506,47928,0.9128,9.35
"(V17) (674) Temple, TX",78890,72071,0.9136,11.98
(V17) (740) VA Texas Valley Coastal Bend HCS,16935,14781,0.8728,23.8
(V18) (501) New Mexico HCS,42373,36622,0.8643,16.98
"(V18) (504) Amarillo, TX",19467,18047,0.9271,19.32
"(V18) (519) Big Spring, TX",7137,6786,0.9508,7.11
"(V18) (644) Phoenix, AZ",68521,60214,0.8788,12.49
(V18) (649) Northern Arizona HCS,13412,11862,0.8844,8.57
(V18) (678) Southern Arizona HCS,42340,39601,0.9353,10.08
"(V18) (756) El Paso, TX",31077,27372,0.8808,8.5
(V19) (436) Montana HCS,18288,16599,0.9076,15.45
"(V19) (442) Cheyenne, WY",13635,12742,0.9345,5.12
"(V19) (554) Denver, CO",62583,53683,0.8578,9.56
"(V19) (575) Grand Junction, CO",8654,8286,0.9575,3.33
"(V19) (660) Salt Lake City, UT",27935,25037,0.8963,12.95
"(V19) (666) Sheridan, WY",4366,4241,0.9714,6.51
"(V20) (463) Anchorage, AK",5982,5784,0.9669,4.36
"(V20) (531) Boise, ID",14163,12552,0.8863,1.86
"(V20) (648) Portland, OR",73666,68572,0.9309,12.99
"(V20) (653) Roseburg, OR",21587,20369,0.9436,10.25
"(V20) (663) VA Puget Sound, WA",65247,62456,0.9572,6.44
"(V20) (668) Spokane, WA",21514,20266,0.942,3.68
"(V20) (687) Walla Walla, WA",8025,7282,0.9074,5.4
"(V20) (692) White City, OR",14702,14261,0.97,4.42
"(V21) (358) Manila, PI",1287,1260,0.979,4.77
"(V21) (459) Honolulu, HI",14563,14150,0.9716,6.95
"(V21) (570) Fresno, CA",17194,15211,0.8847,0.59
"(V21) (612) N. California, CA",62511,54337,0.8692,4.82
"(V21) (640) Palo Alto, CA",49766,46373,0.9318,6.54
"(V21) (654) Reno, NV",26049,23218,0.8913,10.28
"(V21) (662) San Francisco, CA",28503,26328,0.9237,11.75
"(V22) (593) Las Vegas, NV",55370,50927,0.9198,6.4
"(V22) (600) Long Beach, CA",49174,47535,0.9667,8.78
"(V22) (605) Loma Linda, CA",62831,58193,0.9262,8
"(V22) (664) San Diego, CA",61038,55299,0.906,6.67
(V22) (691) Greater Los Angeles HCS,80701,72671,0.9005,6.46
"(V23) (437) Fargo, ND",17514,16729,0.9552,5.39
"(V23) (438) Sioux Falls, SD",19971,19243,0.9635,3.91
"(V23) (568) Black Hills HCS, SD",12773,12034,0.9421,4.03
"(V23) (618) Minneapolis, MN",67476,65385,0.969,4.57
"(V23) (636) Central Iowa, IA",20957,19860,0.9477,7.7
"(V23) (636) Iowa City, IA",31302,29714,0.9493,6.79
"(V23) (636) Nebraska‰ÛW Iowa, NE",36985,36680,0.9918,2.24
"(V23) (656) St. Cloud, MN",31130,29980,0.9631,2.82
