station_id,facility_id,name,ref_date,visn_id,state,occupation_id,speciality_id,date,loss_rate
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,01,2011-01-01,0.375
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,01,2012-01-01,0.7742
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,01,2013-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,01,2014-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,01,2015-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,02,2011-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,02,2012-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,02,2013-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,02,2014-01-01,0.6667
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,02,2015-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,07,2011-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,07,2012-01-01,0.2927
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,07,2013-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,07,2014-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,07,2015-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,08,2011-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,08,2012-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,08,2013-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,08,2014-01-01,1.0
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,08,2015-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,12,2011-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,12,2012-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,12,2013-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,12,2014-01-01,0.3429
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,12,2015-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,16,2011-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,16,2012-01-01,0.2963
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,16,2013-01-01,0.2182
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,16,2014-01-01,0.2105
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,16,2015-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,21,2011-01-01,0.2632
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,21,2012-01-01,0.0632
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,21,2013-01-01,0.0702
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,21,2014-01-01,0.0719
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,21,2015-01-01,0.2813
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,25,2011-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,25,2012-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,25,2013-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,25,2014-01-01,0.6
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,25,2015-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,26,2011-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,26,2012-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,26,2013-01-01,0.2727
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,26,2014-01-01,0.6857
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,26,2015-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,27,2011-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,27,2012-01-01,0.6667
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,27,2013-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,27,2014-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,27,2015-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,29,2011-01-01,
402,99999,HCS TOGUS,2016-05-31,01,ME,0602,29,2012-01-01,
